customer_id,split,suspicious_activity_confirmed,predicted_probability,top_feature_1,top_feature_2,top_feature_3,rank
CUST_0117,train,1.0,0.9880279051056476,txn_type_international_wire,monthly_vol_cv,intl_volume,1
CUST_0644,train,1.0,0.9852054613983998,txn_type_international_wire,monthly_vol_cv,intl_volume,2
CUST_0553,train,1.0,0.9847493390865814,txn_type_international_wire,monthly_vol_cv,intl_volume,3
CUST_0511,train,1.0,0.9845602192005702,txn_type_international_wire,monthly_vol_cv,intl_volume,4
CUST_0756,train,1.0,0.9750365123620623,txn_type_international_wire,monthly_vol_cv,intl_volume,5
CUST_0115,val,1.0,0.9732261811422745,txn_type_international_wire,monthly_vol_cv,intl_volume,6
CUST_0778,train,1.0,0.9717487610027176,txn_type_international_wire,monthly_vol_cv,intl_volume,7
CUST_0788,train,1.0,0.9681860653676102,txn_type_international_wire,monthly_vol_cv,intl_volume,8
CUST_0197,test,,0.967993687373143,txn_type_international_wire,monthly_vol_cv,intl_volume,9
CUST_1161,val,1.0,0.9673174537911279,txn_type_international_wire,monthly_vol_cv,intl_volume,10
CUST_0446,train,1.0,0.9668733610088273,txn_type_international_wire,monthly_vol_cv,intl_volume,11
CUST_0842,train,1.0,0.9666860281352151,txn_type_international_wire,monthly_vol_cv,intl_volume,12
CUST_0983,val,1.0,0.9648925749427886,txn_type_international_wire,monthly_vol_cv,intl_volume,13
CUST_0748,val,1.0,0.9645703315619424,txn_type_international_wire,monthly_vol_cv,intl_volume,14
CUST_0640,train,1.0,0.9616584325152668,txn_type_international_wire,monthly_vol_cv,intl_volume,15
CUST_0631,train,1.0,0.9613745073072875,txn_type_international_wire,monthly_vol_cv,intl_volume,16
CUST_0776,train,1.0,0.9595689509338644,txn_type_international_wire,monthly_vol_cv,intl_volume,17
CUST_0546,train,1.0,0.9586244812899286,txn_type_international_wire,monthly_vol_cv,intl_volume,18
CUST_0407,train,1.0,0.9575444033301108,txn_type_international_wire,monthly_vol_cv,intl_volume,19
CUST_1059,val,1.0,0.9537711122319212,txn_type_international_wire,monthly_vol_cv,intl_volume,20
CUST_1050,train,1.0,0.952951335125061,txn_type_international_wire,monthly_vol_cv,intl_volume,21
CUST_0188,train,1.0,0.9511722716309431,txn_type_international_wire,monthly_vol_cv,intl_volume,22
CUST_0991,val,1.0,0.9500522969293916,txn_type_international_wire,monthly_vol_cv,intl_volume,23
CUST_0586,train,1.0,0.9438533929978369,txn_type_international_wire,monthly_vol_cv,intl_volume,24
CUST_0458,val,1.0,0.9400565575391736,txn_type_international_wire,monthly_vol_cv,intl_volume,25
CUST_0333,train,1.0,0.937916622552957,txn_type_international_wire,monthly_vol_cv,intl_volume,26
CUST_1127,train,1.0,0.9348446874135627,txn_type_international_wire,monthly_vol_cv,intl_volume,27
CUST_1102,train,1.0,0.9337313755702082,txn_type_international_wire,monthly_vol_cv,intl_volume,28
CUST_1147,train,1.0,0.9185512241699887,txn_type_international_wire,monthly_vol_cv,intl_volume,29
CUST_0462,val,1.0,0.9127145566406405,txn_type_international_wire,monthly_vol_cv,intl_volume,30
CUST_0691,test,,0.910336155946532,txn_type_international_wire,monthly_vol_cv,intl_volume,31
CUST_0505,test,,0.9079267410707388,txn_type_international_wire,monthly_vol_cv,intl_volume,32
CUST_0594,val,1.0,0.8785367064616143,txn_type_international_wire,monthly_vol_cv,intl_volume,33
CUST_0189,test,,0.8634008808915642,txn_type_international_wire,monthly_vol_cv,intl_volume,34
CUST_0237,test,,0.8568137713137192,txn_type_international_wire,monthly_vol_cv,intl_volume,35
CUST_0091,test,,0.7647161680756028,txn_type_international_wire,monthly_vol_cv,intl_volume,36
CUST_0126,test,,0.756274359375315,txn_type_international_wire,monthly_vol_cv,intl_volume,37
CUST_0947,test,,0.7559460502629931,txn_type_international_wire,monthly_vol_cv,intl_volume,38
CUST_0440,test,,0.7538192979920139,txn_type_international_wire,monthly_vol_cv,intl_volume,39
CUST_0439,test,,0.7445120426085109,txn_type_international_wire,monthly_vol_cv,intl_volume,40
CUST_0868,test,,0.7350191467435178,txn_type_international_wire,monthly_vol_cv,intl_volume,41
CUST_1189,test,,0.7257141343506672,txn_type_international_wire,monthly_vol_cv,intl_volume,42
CUST_0077,test,,0.715674394355524,txn_type_international_wire,monthly_vol_cv,intl_volume,43
CUST_0180,test,,0.6802751464218124,txn_type_international_wire,monthly_vol_cv,intl_volume,44
CUST_1008,test,,0.6618966827832161,txn_type_international_wire,monthly_vol_cv,intl_volume,45
CUST_0754,test,,0.6462674641998276,txn_type_international_wire,monthly_vol_cv,intl_volume,46
CUST_0606,test,,0.6366680886510445,txn_type_international_wire,monthly_vol_cv,intl_volume,47
CUST_0235,test,,0.6067243605063876,txn_type_international_wire,monthly_vol_cv,intl_volume,48
CUST_0264,test,,0.5825851364894185,txn_type_international_wire,monthly_vol_cv,intl_volume,49
CUST_0786,test,,0.5568754118052522,txn_type_international_wire,monthly_vol_cv,intl_volume,50
CUST_0963,test,,0.5178162743411221,txn_type_international_wire,monthly_vol_cv,intl_volume,51
CUST_0279,test,,0.5132385436060459,txn_type_international_wire,monthly_vol_cv,intl_volume,52
CUST_1175,test,,0.506502844604628,txn_type_international_wire,monthly_vol_cv,intl_volume,53
CUST_0086,test,,0.4805385207831535,txn_type_international_wire,monthly_vol_cv,intl_volume,54
CUST_0485,test,,0.4509161307662045,txn_type_international_wire,monthly_vol_cv,intl_volume,55
CUST_0029,test,,0.4338664194719946,txn_type_international_wire,monthly_vol_cv,intl_volume,56
CUST_0330,val,0.0,0.4327849150220298,txn_type_international_wire,monthly_vol_cv,intl_volume,57
CUST_1086,val,0.0,0.4323942588940616,txn_type_international_wire,monthly_vol_cv,intl_volume,58
CUST_0861,test,,0.4213243141695395,txn_type_international_wire,monthly_vol_cv,intl_volume,59
CUST_0006,test,,0.4120561284379214,txn_type_international_wire,monthly_vol_cv,intl_volume,60
CUST_0184,train,0.0,0.4048082720717426,txn_type_international_wire,monthly_vol_cv,intl_volume,61
CUST_0185,test,,0.3994684592221331,txn_type_international_wire,monthly_vol_cv,intl_volume,62
CUST_0179,test,,0.37774361170151766,txn_type_international_wire,monthly_vol_cv,intl_volume,63
CUST_0019,train,0.0,0.37593104635525176,txn_type_international_wire,monthly_vol_cv,intl_volume,64
CUST_0366,train,0.0,0.35460981937034225,txn_type_international_wire,monthly_vol_cv,intl_volume,65
CUST_1055,test,,0.3515536171259655,txn_type_international_wire,monthly_vol_cv,intl_volume,66
CUST_0038,test,,0.3398318866513852,txn_type_international_wire,monthly_vol_cv,intl_volume,67
CUST_1070,test,,0.3283753780855748,txn_type_international_wire,monthly_vol_cv,intl_volume,68
CUST_1180,test,,0.31578638853911006,txn_type_international_wire,monthly_vol_cv,intl_volume,69
